I, [2023-03-13T10:10:32.560107 #25667]  INFO -- Kitchen: -----> Starting Test Kitchen (v3.2.2)
E, [2023-03-13T10:10:32.560724 #25667] ERROR -- Kitchen: ------Exception-------
E, [2023-03-13T10:10:32.560758 #25667] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2023-03-13T10:10:32.560770 #25667] ERROR -- Kitchen: Message: Kitchen YAML file /home/chef/chef-repo/kitchen.yml does not exist.
E, [2023-03-13T10:10:32.560780 #25667] ERROR -- Kitchen: ----------------------
E, [2023-03-13T10:10:32.560789 #25667] ERROR -- Kitchen: ------Backtrace-------
E, [2023-03-13T10:10:32.560798 #25667] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2023-03-13T10:10:32.560811 #25667] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/config.rb:153:in `data'
E, [2023-03-13T10:10:32.560821 #25667] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/config.rb:131:in `suites'
E, [2023-03-13T10:10:32.560829 #25667] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/config.rb:183:in `filter_instances'
E, [2023-03-13T10:10:32.560838 #25667] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/config.rb:142:in `build_instances'
E, [2023-03-13T10:10:32.560847 #25667] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/config.rb:116:in `instances'
E, [2023-03-13T10:10:32.560856 #25667] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/command.rb:109:in `filtered_instances'
E, [2023-03-13T10:10:32.560865 #25667] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/command.rb:139:in `parse_subcommand'
E, [2023-03-13T10:10:32.560874 #25667] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/command/action.rb:34:in `block in call'
E, [2023-03-13T10:10:32.560883 #25667] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/3.0.0/benchmark.rb:293:in `measure'
E, [2023-03-13T10:10:32.560892 #25667] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/command/action.rb:33:in `call'
E, [2023-03-13T10:10:32.560901 #25667] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/cli.rb:52:in `perform'
E, [2023-03-13T10:10:32.560910 #25667] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2023-03-13T10:10:32.560919 #25667] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/command.rb:27:in `run'
E, [2023-03-13T10:10:32.560927 #25667] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/invocation.rb:127:in `invoke_command'
E, [2023-03-13T10:10:32.560936 #25667] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor.rb:392:in `dispatch'
E, [2023-03-13T10:10:32.560945 #25667] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/base.rb:485:in `start'
E, [2023-03-13T10:10:32.560953 #25667] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/bin/kitchen:11:in `block in <top (required)>'
E, [2023-03-13T10:10:32.560979 #25667] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/errors.rb:183:in `with_friendly_errors'
E, [2023-03-13T10:10:32.560989 #25667] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/bin/kitchen:11:in `<top (required)>'
E, [2023-03-13T10:10:32.560997 #25667] ERROR -- Kitchen: /usr/bin/kitchen:390:in `load'
E, [2023-03-13T10:10:32.561006 #25667] ERROR -- Kitchen: /usr/bin/kitchen:390:in `<main>'
E, [2023-03-13T10:10:32.561019 #25667] ERROR -- Kitchen: ----End Backtrace-----
